SHA-1,Serial,Save Type
cf0a6c1c473ba6c85027b6071aa1cf6e21336974,AK5J,14
f08b1f60e41fc2080c50c65ea2b2af912661ed99,FSMJ,0
b5afc36a8203c2c485344819d069300ecafd9657,FDKJ,0
28aac26365bf41ba84e67f97e98d15c4678cb99d,FZLE,2
8ca35864ae33c9462dd66ceff1fac5a79e2e0a6f,FSME,0
741eb2874c526cc014bf3e642b4ee37f18312735,FBME,0
b2088582808480e0d70c63a777b046409d4e15c4,FXVE,0
843d853ed28a116c85a5357f9a94e9179f36a6d0,FP7E,0
64e965d61b2d1be5dfadb0236fed83fea5995724,FICE,0
8e3b203630f10c32aa7896afe9b7fbed7e1c8d30,FDKE,0
22ea42ad9a99a6bc0fcba8721cf8f484f68c3bf7,FLBE,2
47a60315ed4074a8c986723b95b3c90513d3b35c,FADE,0
fc396f0eae55cf19e573aa322f525427e03d3854,FDME,0
838da11f879e2fa3ffdef95e1c6d5a54246c1846,FMRE,0
8bc8740a681e4d365419dbcee73619fe4429d66e,FADP,0
ecfb6409abb7ff429aadc65a6b953dbaef3d09d8,BKQX,0
ff2772e347212264d1a1c4d322a08685adc1e6a7,BIME,2
8fa03b1e23e7dea0dbc841d23046d03d246a1cdf,FSRJ,2
b4c1a3582f596d3912a1a7ea2d1eb6681b769448,FGZJ,0
6701010f7c195cf3fbdedb19e4627835a3158748,FSMJ,15
